"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16729574"	-0.684500679366138	7.37318316903621	-6.79733663365548	2.88668977106783e-09	1.01152233841645e-06	10.9836169937963	"RAB30-AS1"
"16710632"	-0.51354978325851	7.2866207492567	-6.79372544633567	2.93061474945081e-09	1.01158697478431e-06	10.969206613037	"LOC102724883"
"16740337"	1.55560889988595	6.19380914825343	6.78454073418651	3.04535065083735e-09	1.03573271326346e-06	10.9325612205699	NA
"16915656"	0.315635530373655	8.56201212066726	6.77238579567801	3.20408218722252e-09	1.07392476440428e-06	10.8840785911143	"ADRM1"
"16989256"	0.515586345932844	6.05530206287283	6.75566685949172	3.43593147044328e-09	1.13518267309917e-06	10.8174167931865	NA
"16863877"	0.602306708410673	8.93367314248694	6.72703361473918	3.87236811540382e-09	1.26135573809781e-06	10.7033196383467	"PPP1R15A"
"17118039"	-0.955573594752171	4.6277620616883	-6.68651671826552	4.5855890701558e-09	1.46839980415697e-06	10.5420226238144	"LOC100507209"
"16674470"	-0.359497668765785	9.54683816270095	-6.68394755274515	4.63498014024556e-09	1.46839980415697e-06	10.5318010389068	"CEP350"
"17117453"	1.11160535094015	9.11488425793695	6.67755151461957	4.76024873384518e-09	1.48698048070314e-06	10.5063572718511	NA
"16981660"	0.650334360772071	4.1623217675483	6.67444879607025	4.82222233980783e-09	1.48698048070314e-06	10.4940161848022	NA
"16706056"	-0.515701872151726	6.67578924439504	-6.64327877322583	5.49104296284053e-09	1.67093882370543e-06	10.370099051377	"LOC101929112"
"16750254"	-0.862945535284004	5.64612795514878	-6.63852762855828	5.60078026059528e-09	1.68201407310463e-06	10.3512207688104	NA
"16934671"	0.55774183461001	8.46905681960938	6.63545535645458	5.67289737977953e-09	1.68201407310463e-06	10.339014773147	"TST"
"16900519"	-0.436340528850778	10.6707022583241	-6.62793517512044	5.85333775468973e-09	1.7063863845686e-06	10.3091421824101	NA
"16712477"	-0.492448442798721	6.51974032282081	-6.62338787517991	5.96519979632953e-09	1.7063863845686e-06	10.2910821197477	NA
"16996182"	-1.01932932920506	7.97545887563262	-6.6229353470192	5.97644731915323e-09	1.7063863845686e-06	10.289284994121	NA
"17068626"	-0.986566807114466	7.48322699893401	-6.60782119354629	6.3644519858897e-09	1.79500830582526e-06	10.2292763467901	NA
"16856476"	0.494428524927894	8.58281935271859	6.58886725953046	6.88655593712384e-09	1.91885998985377e-06	10.1540617733122	"ATP5D"
"16743293"	-0.902984578208288	6.0722929419253	-6.57803736061135	7.20374169670485e-09	1.97909291889982e-06	10.1111056024737	NA
"16834766"	0.441287294838336	11.7206852522598	6.57570674353159	7.27387461004386e-09	1.97909291889982e-06	10.1018632568617	"GRN"
"16806584"	-1.01249981743931	8.31321787309372	-6.57104083444581	7.41632449989887e-09	1.98169654535768e-06	10.0833620729877	NA
"16795366"	-0.96256710690536	6.6979754240597	-6.56979522392525	7.45481901872781e-09	1.98169654535768e-06	10.0784234618527	"SNORA79"
"16849400"	0.769090563750198	7.65103446453493	6.56059556889022	7.74533599689589e-09	2.03552710909331e-06	10.0419546257529	"SOCS3"
"17010398"	-0.512691849999681	6.63058709585124	-6.54953873214893	8.10940623813886e-09	2.10726110190379e-06	9.99813785722659	"LOC100506804"
"17115971"	-1.16897198311088	7.7962523630495	-6.54174843982765	8.37606984271226e-09	2.15237074724896e-06	9.9672753635446	NA
"16703112"	-0.637284363962062	6.20881045682619	-6.52784948107564	8.87362869642397e-09	2.25516935013403e-06	9.9122318747786	"LOC100130992"
"16742838"	-0.683415829326278	5.29887244484624	-6.49096770418787	1.03406838163041e-08	2.59944559369201e-06	9.76629338371752	NA
"16711138"	1.6572968696183	4.93329341247461	6.47646664759595	1.09812981973677e-08	2.72261653864418e-06	9.70896355435207	NA
"16847839"	-0.518771777232514	10.5494240183407	-6.47205622627961	1.11838358270073e-08	2.72261653864418e-06	9.69153264189246	NA
"16847840"	-0.518771777232514	10.5494240183407	-6.47205622627961	1.11838358270073e-08	2.72261653864418e-06	9.69153264189246	NA
"17068622"	-1.00614638214087	6.74195653694295	-6.4533843055845	1.20831606051008e-08	2.91090890952257e-06	9.6177668209767	NA
"16830575"	0.704808649689648	9.27962770959643	6.44485910865326	1.25172822266809e-08	2.9844039799634e-06	9.58410295985073	NA
"16987121"	-0.666933391584171	5.30120935355926	-6.42844793072903	1.33969946905337e-08	3.1615540429385e-06	9.51932795317539	"LOC731157"
"16773473"	0.482940679050349	7.27599146083863	6.38643587959675	1.59384049543797e-08	3.72330799373676e-06	9.35368082351563	NA
"16963396"	-1.02031224850306	6.7150346870585	-6.3832324902516	1.61507403761778e-08	3.73518172679865e-06	9.34106081984799	NA
"17082935"	-0.492084760958386	6.36982812160482	-6.3662981992679	1.7320704429058e-08	3.96609833000815e-06	9.27437190786883	"ZNF250"
"16670270"	-0.464608176362194	6.88709124508339	-6.3592323083362	1.78333725945521e-08	4.02680879720514e-06	9.24655827773799	NA
"16758440"	-0.848485587451486	6.01601708861091	-6.35786808723641	1.79340729931305e-08	4.02680879720514e-06	9.24118911901805	NA
"16766588"	0.66009316175161	4.22699425480901	6.3417346909222	1.9168583131455e-08	4.23079908967116e-06	9.17771413771586	NA
"17075271"	0.541710370062363	9.9598228044265	6.34123097660201	1.92084535138787e-08	4.23079908967116e-06	9.17573296279974	"DOK2"
"17017224"	-0.867054865872626	8.05591744908032	-6.33869308001108	1.94105889783642e-08	4.23498765379839e-06	9.16575166433415	"LTB"
"17118358"	-0.747891271709818	8.46434387714684	-6.32027392258481	2.09421729154239e-08	4.52644516836456e-06	9.09334027780439	NA
"16818391"	-0.790086076058965	6.58520241233511	-6.31085736215104	2.17708479313425e-08	4.66198518618664e-06	9.05634095969821	"LOC101928829"
"16751997"	0.855246073433321	9.12705221852486	6.30016816151655	2.27509545637271e-08	4.82716813023226e-06	9.01435784058125	NA
"16670245"	-0.442098785651566	7.33947710387301	-6.29012918160643	2.37112079874671e-08	4.98517370114684e-06	8.97494475940597	NA
"16834733"	0.334166707570631	9.14694722657144	6.2746454046953	2.52715679959967e-08	5.2387928918596e-06	8.91418645543217	"TMUB2"
"16694188"	-0.354075126637222	9.54313265062024	-6.27369535666391	2.53705540661684e-08	5.2387928918596e-06	8.91045970487725	NA
"16918902"	0.649261067636218	1.8929318954238	6.25457894611704	2.74459656973989e-08	5.61719335118358e-06	8.83550244205983	NA
"16955155"	0.505977965383679	7.32185305503147	6.24356684515973	2.87169712088092e-08	5.82576660654501e-06	8.79234963388665	"SELK"
"16688212"	-1.07799631944514	6.12208077577813	-6.23642467138711	2.9572308515621e-08	5.91441268078608e-06	8.76437232295626	"MIR101-1"
"16932753"	-1.10800398323099	5.65592598258248	-6.23565966970237	2.966540714192e-08	5.91441268078608e-06	8.76137615282306	NA
"16782094"	-0.973781278719958	7.54435032791863	-6.22995236166998	3.03691942938489e-08	6.00297740541746e-06	8.73902619618728	NA
"17064360"	0.400018035960233	7.51732251382007	6.21888568549154	3.17813195967189e-08	6.22886930773998e-06	8.69570407115263	"CDK5"
"16873940"	0.418632433446644	6.48907252726641	6.21257002744594	3.26161552261025e-08	6.3387716127233e-06	8.67098956923383	"TMEM143"
"16957673"	-0.914640370974346	4.42503576385918	-6.20362413686959	3.38359606053762e-08	6.52103550767113e-06	8.6359937589268	"MIR4796"
"16925398"	-0.593897139452067	7.70553212430929	-6.18174824129421	3.70124308096467e-08	7.07426849036942e-06	8.55047303846828	"RUNX1-IT1"
"16658750"	-0.590173902965109	5.60918833864663	-6.16500510850048	3.96415061615792e-08	7.51466486064625e-06	8.48507294466007	NA
"17052413"	-0.69097577615336	5.88866571657038	-6.14669733691271	4.27281810009348e-08	8.03394017893186e-06	8.41361636476985	"TAS2R3"
"16801656"	-0.44630879860144	6.07661598082203	-6.1308189988395	4.55971246136139e-08	8.50423145918588e-06	8.35168922424374	"RORA-AS1"
"16681749"	0.32847922709595	7.5974394422311	6.11958419899931	4.77414407063251e-08	8.83293039372144e-06	8.30789911055685	"MAD2L2"
"16769593"	0.587383005414965	6.70459421644292	6.11553347855396	4.85388085432034e-08	8.90918273951322e-06	8.29211600978161	NA
"16682485"	-0.768368445514134	7.05275204122705	-6.0947336028448	5.28454653126694e-08	9.55520761987721e-06	8.21111811900477	"MIR1290"
"16810933"	0.503043553364252	5.68343909410661	6.09455150380204	5.28847916004792e-08	9.55520761987721e-06	8.21040934020516	"TIPIN"
